Order ID,Order Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-00657,2022-01-04,CUST-1050,Eric Carney,Corporate,North,Office Supplies,Envelopes,Padded Envelopes,4062.02,11,0,1061.06
ORD-01016,2022-01-04,CUST-1271,Jasmin Alvarado,Consumer,North,Furniture,Bookcases,Corner Bookcase,4504.88,5,0,1516.85
ORD-01855,2022-01-04,CUST-1072,Whitney Peters,Corporate,East,Office Supplies,Envelopes,Mailing Envelopes Pack,417.51,5,0,37.61
ORD-00598,2022-01-05,CUST-1219,Justin Torres,Corporate,North,Technology,Copiers,Office Copier Machine,156211.14,5,0,49228.49
ORD-01268,2022-01-05,CUST-1193,Debra Christian,Home Office,Central,Furniture,Chairs,Mesh Task Chair,11240.01,3,0,3907.54
ORD-00071,2022-01-06,CUST-1142,David Douglas Jr.,Consumer,South,Furniture,Bookcases,5-Shelf Bookcase,20170.67,2,0.05,4051.62
ORD-01618,2022-01-06,CUST-1012,Jamie Arnold,Home Office,Central,Furniture,Furnishings,Office Partition,115232.95,12,0.3,-20345.7
ORD-00898,2022-01-07,CUST-1160,Jamie Smith,Home Office,East,Office Supplies,Labels,Label Roll,1142.81,6,0.3,-398.79
ORD-01198,2022-01-07,CUST-1077,Angela Lopez,Corporate,North,Technology,Copiers,Office Copier Machine,11486.1,1,0.2,-1557.15
ORD-01234,2022-01-07,CUST-1110,Sharon Cochran,Corporate,West,Technology,Machines,All-in-One Printer,36340.38,1,0.1,124.74
ORD-01716,2022-01-07,CUST-1174,Matthew Harrington,Home Office,South,Office Supplies,Labels,Sticker Sheet,1607.3,8,0.1,-12.35
ORD-01591,2022-01-08,CUST-1292,Stephanie Byrd,Consumer,South,Furniture,Bookcases,Modern Bookcase,63791.99,9,0.15,-6217.87
ORD-00823,2022-01-11,CUST-1185,Lindsay Martinez,Home Office,West,Office Supplies,Paper,Sticky Notes Pack,4386.0,3,0.3,-461.41
ORD-01222,2022-01-11,CUST-1134,Daniel Kennedy,Corporate,East,Office Supplies,Storage,Plastic Drawer Unit,8328.11,8,0.2,1065.31
ORD-01311,2022-01-11,CUST-1296,John Young,Corporate,West,Technology,Phones,Smartphone Lite,64326.62,11,0,10893.45
ORD-01678,2022-01-11,CUST-1277,Wayne Morgan,Corporate,South,Office Supplies,Binders,View Binder,983.6,7,0.15,66.71
ORD-01929,2022-01-11,CUST-1203,Elizabeth Perkins,Home Office,South,Furniture,Bookcases,5-Shelf Bookcase,9024.38,4,0,1269.02
ORD-00885,2022-01-12,CUST-1160,Jamie Smith,Home Office,South,Furniture,Chairs,Folding Chair,11240.17,6,0,1743.75
ORD-00299,2022-01-13,CUST-1033,Tricia Valencia,Corporate,Central,Furniture,Chairs,Recliner Chair,18350.69,9,0,2467.35
ORD-01291,2022-01-13,CUST-1021,Margaret Hawkins DDS,Consumer,North,Furniture,Bookcases,Corner Bookcase,42116.96,11,0.05,862.13
ORD-00611,2022-01-14,CUST-1186,Dr. Hannah Patterson,Consumer,North,Furniture,Bookcases,5-Shelf Bookcase,19532.2,9,0.15,-318.01
ORD-00321,2022-01-15,CUST-1296,John Young,Corporate,Central,Furniture,Chairs,Folding Chair,38264.28,11,0,3689.96
ORD-00917,2022-01-15,CUST-1173,Joshua Cooke,Consumer,Central,Technology,Accessories,Webcam HD,119828.26,7,0.3,2762.42
ORD-01909,2022-01-16,CUST-1242,Matthew Moon,Consumer,West,Furniture,Tables,Conference Table,11184.06,2,0.05,676.0
ORD-01970,2022-01-16,CUST-1275,Joyce Bowen,Corporate,Central,Technology,Accessories,Wireless Mouse,547475.36,11,0,183425.77
ORD-00213,2022-01-17,CUST-1189,Madison Poole,Consumer,South,Technology,Machines,All-in-One Printer,466559.26,8,0.05,101435.13
ORD-01494,2022-01-17,CUST-1293,Jeremy Reed,Home Office,West,Furniture,Chairs,Mesh Task Chair,25952.22,2,0.1,5655.36
ORD-00350,2022-01-18,CUST-1252,Olivia Harris,Consumer,West,Technology,Phones,Smartphone Pro Max,239335.06,5,0.05,28838.21
